"Date","Price","Open","High","Low","Vol.","Change %"
"02/27/2019","143.76","143.39","143.97","142.88","2.05M","0.03%"
"02/26/2019","143.71","143.75","144.23","143.59","2.16M","-0.19%"
"02/25/2019","143.98","144.56","144.88","143.90","3.92M","0.15%"
"02/22/2019","143.77","143.20","143.84","143.03","1.84M","0.66%"
"02/21/2019","142.83","143.06","143.14","142.25","3.69M","-0.34%"
"02/20/2019","143.32","143.05","143.53","142.74","2.36M","0.21%"
"02/19/2019","143.02","142.41","143.39","142.34","2.47M","0.20%"
"02/15/2019","142.74","142.16","142.77","141.91","2.54M","1.10%"
"02/14/2019","141.19","140.86","141.81","140.38","2.73M","-0.18%"
"02/13/2019","141.44","141.45","141.88","141.14","2.37M","0.31%"
"02/12/2019","141.00","140.12","141.18","140.06","3.31M","1.25%"
"02/11/2019","139.26","139.40","139.55","138.89","2.34M","0.21%"
"02/08/2019","138.97","138.14","138.99","137.66","2.11M","0.10%"
"02/07/2019","138.83","139.18","139.49","137.12","5.10M","-0.95%"
"02/06/2019","140.16","140.15","140.40","139.65","2.95M","-0.10%"
"02/05/2019","140.30","139.95","140.45","139.66","2.76M","0.42%"
"02/04/2019","139.72","138.76","139.75","138.36","4.94M","0.71%"
"02/01/2019","138.73","138.70","139.20","138.25","3.23M","0.14%"
"01/31/2019","138.53","137.27","138.77","137.24","3.93M","0.88%"
"01/30/2019","137.32","136.15","137.81","135.62","3.06M","1.51%"
"01/29/2019","135.28","135.62","135.87","134.84","2.98M","-0.14%"
"01/28/2019","135.47","135.24","135.52","134.48","4.37M","-0.73%"
"01/25/2019","136.47","136.23","136.82","136.03","2.99M","0.94%"
"01/24/2019","135.20","134.93","135.47","134.46","3.79M","0.21%"
"01/23/2019","134.92","135.38","135.77","133.60","3.93M","0.10%"
"01/22/2019","134.78","135.89","135.92","133.89","5.04M","-1.37%"
"01/18/2019","136.65","135.89","136.94","135.45","4.22M","1.30%"
"01/17/2019","134.90","133.40","135.40","133.16","4.40M","0.81%"
"01/16/2019","133.82","133.67","134.33","133.61","2.96M","0.28%"
"01/15/2019","133.44","132.19","133.56","132.05","4.54M","1.09%"
"01/14/2019","132.00","131.79","132.49","131.56","2.48M","-0.63%"
"01/11/2019","132.84","132.13","132.86","131.85","3.03M","0.02%"
"01/10/2019","132.81","131.44","132.89","131.00","2.69M","0.49%"
"01/09/2019","132.16","132.02","132.67","131.36","6.41M","0.47%"
"01/08/2019","131.54","131.45","131.73","130.05","3.95M","1.03%"
"01/07/2019","130.20","129.19","131.04","128.81","4.49M","1.01%"
"01/04/2019","128.90","126.48","129.37","126.32","4.78M","3.31%"
"01/03/2019","124.77","126.91","126.91","124.57","5.25M","-2.32%"
"01/02/2019","127.73","125.75","128.16","125.34","5.09M","0.08%"
"12/31/2018","127.63","127.38","127.73","126.28","9.41M","0.95%"
"12/28/2018","126.43","127.50","128.31","125.73","11.67M","-0.13%"
"12/27/2018","126.59","123.76","126.59","121.91","16.13M","0.90%"
"12/26/2018","125.46","120.34","125.52","119.35","12.51M","4.81%"
"12/24/2018","119.70","121.90","122.54","119.67","14.49M","-3.07%"
"12/21/2018","123.49","126.51","127.97","123.12","13.61M","-2.12%"
"12/20/2018","126.17","127.51","128.38","124.80","13.12M","-1.61%"
"12/19/2018","128.24","130.28","132.39","127.30","8.01M","-1.54%"
"12/18/2018","130.24","131.26","131.74","129.36","8.07M","-0.03%"
"12/17/2018","130.28","132.54","133.16","129.47","7.19M","-2.13%"
"12/14/2018","133.12","134.26","134.92","132.76","4.50M","-1.73%"
"12/13/2018","135.46","136.24","136.69","134.89","3.30M","-0.24%"
"12/12/2018","135.79","136.72","137.51","135.75","3.72M","0.57%"
"12/11/2018","135.02","136.86","137.01","134.23","3.46M","-0.02%"
"12/10/2018","135.05","134.81","135.60","132.45","5.05M","0.11%"
"12/07/2018","134.90","137.94","138.87","134.43","4.99M","-2.36%"
"12/06/2018","138.16","136.15","138.16","134.35","6.54M","-0.12%"
"12/04/2018","138.33","142.64","142.82","138.10","3.92M","-3.27%"
"12/03/2018","143.00","143.60","144.00","142.03","3.66M","1.17%"
"11/30/2018","141.35","140.24","141.51","140.07","2.14M","0.72%"
"11/29/2018","140.34","140.19","141.16","139.48","2.90M","-0.18%"
